HATCHERY Fall Chinook,HATCHERY Summer Steelhead,HATCHERY Type S Coho
271,276,278
271,276,278
271,276,278
271,283,278
271,283,278
271,283,278
271,283,278
271,283,278
271,283,278
271,283,278
271,283,278
271,283,278
271,283,278
271,284,278
271,284,278
271,284,278
271,284,279
271,284,279
271,284,279
271,284,279
271,284,279
271,284,279
271,284,279
271,285,279
271,285,279
271,285,279
271,285,279
272,285,279
272,285,279
272,285,279
272,285,279
272,285,279
272,285,279
273,285,279
273,285,279
273,285,279
273,285,279
273,285,279
273,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,279
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,285,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,287,280
274,289,280
274,289,280
274,289,280
274,289,280
274,289,280
274,289,280
274,289,280
274,289,280
275,289,280
275,289,280
275,289,280
275,289,280
275,289,280
275,289,280
275,289,280
275,289,280
275,289,280
275,289,281
275,289,281
275,289,283
275,289,283
275,289,283
275,289,283
275,289,283
275,289,283
275,289,283
275,289,283
275,289,283
275,289,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,290,283
275,292,283
275,292,283
275,292,283
275,292,283
275,293,283
275,293,283
275,293,283
275,293,283
275,293,283
275,293,283
275,293,283
275,293,283
275,293,283
275,293,283
275,293,283
275,293,283
275,293,283
275,293,283
275,293,283
276,293,283
276,293,283
276,293,283
276,293,283
276,293,283
276,293,283
276,293,283
276,293,283
276,293,283
276,293,283
276,293,283
276,293,283
276,293,283
276,293,283
276,293,283
276,293,283
276,293,283
276,293,283
276,293,283
276,293,283
276,293,283
276,293,283
276,293,283
276,293,284
276,293,284
276,293,284
276,293,284
276,293,284
276,293,284
276,293,284
276,294,284
276,294,284
276,294,284
276,294,284
276,294,284
276,294,284
276,294,284
276,294,284
276,294,284
276,294,284
276,294,284
276,294,284
276,294,284
276,294,284
276,294,284
276,294,284
276,294,284
276,294,284
276,294,284
276,294,284
276,295,284
276,295,284
276,295,284
276,295,284
276,295,284
276,295,284
276,295,284
276,295,284
276,295,284
276,295,284
276,295,284
276,295,284
276,295,284
276,295,284
276,295,284
276,295,284
276,295,284
276,295,284
276,295,284
276,295,284
276,295,284
276,296,284
276,296,284
276,296,284
276,296,284
276,296,284
276,296,284
276,296,284
276,296,284
276,296,284
276,296,284
276,296,284
276,296,284
276,296,284
276,296,284
276,296,284
276,296,284
276,296,284
276,296,284
276,296,284
276,296,284
276,296,284
276,296,284
276,296,284
276,296,284
276,296,284
276,296,284
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
276,296,285
277,296,285
277,296,285
277,296,285
277,296,285
277,296,285
277,296,285
277,296,285
277,296,285
277,296,285
277,296,285
277,296,285
277,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,296,285
278,297,285
278,297,285
278,297,285
278,297,285
278,297,285
278,297,285
278,297,285
278,297,285
278,297,285
278,297,285
279,297,285
279,297,285
279,297,285
279,297,285
279,297,285
279,297,285
279,297,285
279,297,285
279,297,285
279,297,285
279,297,285
279,297,285
279,297,285
279,297,286
279,297,286
279,297,286
279,297,286
279,297,286
279,297,286
279,297,286
279,300,286
279,300,286
279,300,286
279,300,286
279,300,286
279,300,286
279,300,286
279,300,286
279,300,286
279,300,286
279,300,286
279,300,286
279,300,286
279,300,286
279,300,286
279,300,286
279,300,286
280,300,286
280,300,286
280,300,286
280,300,286
280,300,286
280,300,286
280,300,286
280,300,286
280,300,286
280,300,286
280,300,286
280,300,286
280,300,286
280,300,286
280,300,286
280,300,286
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,300,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,287
280,301,288
280,301,288
280,301,288
280,301,288
280,301,288
280,301,288
280,301,288
280,301,288
280,301,288
280,301,288
281,301,288
281,301,288
281,301,288
281,301,288
281,302,288
281,302,288
281,302,288
281,302,288
283,302,288
283,302,288
283,302,288
283,302,288
283,302,288
283,302,288
283,302,288
283,302,288
283,302,288
283,302,288
283,302,288
283,302,288
283,302,288
283,302,288
283,302,288
283,302,288
283,302,288
283,302,288
283,302,288
283,302,288
283,302,288
283,302,289
283,302,289
283,302,289
283,302,289
283,302,289
283,302,289
283,302,289
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,302,290
283,303,290
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,291
283,303,292
283,303,292
283,303,292
283,303,292
283,303,292
283,303,292
283,303,292
283,303,292
283,303,292
283,303,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,307,292
283,314,292
283,314,292
283,314,292
283,314,292
283,314,292
283,314,292
283,314,292
283,314,292
283,314,292
283,314,292
283,314,292
283,314,292
283,314,292
283,314,292
283,320,292
283,320,292
283,320,292
283,320,292
283,320,292
283,320,292
284,320,292
284,320,292
284,320,292
284,320,292
284,320,292
284,320,292
284,320,292
284,320,292
284,320,292
284,320,292
284,320,292
284,320,292
284,320,292
284,320,292
284,320,292
284,320,292
284,320,292
284,327,292
284,327,292
284,327,292
284,327,292
284,327,292
284,327,292
284,327,292
284,327,292
284,327,292
284,327,292
284,327,292
284,327,292
284,327,292
284,327,292
284,327,292
284,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,292
285,327,293
285,327,293
285,327,293
285,327,293
285,327,293
285,327,293
285,327,293
285,327,293
285,327,293
285,327,293
285,327,293
285,327,293
285,327,293
285,327,293
285,327,293
285,327,293
285,327,293
285,327,293
285,327,294
285,327,294
285,327,294
285,327,294
285,327,294
285,327,294
285,327,294
285,327,294
285,327,294
285,327,294
285,327,294
285,327,294
285,327,294
285,327,294
285,327,294
285,327,294
285,327,294
285,327,294
285,327,294
285,327,294
285,327,294
285,327,294
285,327,294
285,327,294
285,327,294
285,327,294
285,327,294
286,327,294
286,327,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
286,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,294
287,,295
287,,295
287,,295
287,,295
287,,295
287,,295
287,,295
287,,295
287,,295
287,,296
287,,296
287,,296
287,,296
287,,296
287,,296
287,,296
287,,296
287,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
288,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
290,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,296
291,,297
292,,297
292,,297
292,,297
292,,297
292,,297
292,,297
292,,297
292,,297
292,,297
292,,297
292,,297
292,,297
292,,297
292,,297
292,,297
292,,297
292,,297
292,,297
292,,297
292,,297
292,,297
292,,297
293,,297
293,,297
293,,297
293,,298
293,,298
293,,298
293,,298
293,,298
293,,298
293,,298
293,,299
293,,299
293,,299
293,,299
293,,299
293,,299
293,,299
293,,299
293,,299
293,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
294,,299
295,,299
295,,299
295,,299
295,,299
295,,299
295,,299
295,,299
295,,299
295,,299
295,,299
295,,299
295,,299
295,,299
295,,299
295,,299
295,,299
295,,299
296,,299
296,,299
296,,299
296,,299
296,,299
296,,299
296,,299
296,,299
296,,299
296,,299
296,,299
296,,299
296,,299
296,,299
296,,300
296,,300
296,,300
296,,300
296,,300
296,,300
296,,300
296,,300
296,,300
296,,300
296,,300
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,301
296,,302
296,,302
296,,302
296,,302
296,,302
296,,302
296,,302
296,,303
296,,303
296,,303
296,,303
296,,303
296,,303
296,,303
296,,303
296,,303
296,,303
296,,303
296,,303
296,,304
296,,304
296,,304
296,,304
296,,304
296,,304
296,,304
296,,304
296,,304
296,,304
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
296,,306
297,,306
297,,306
297,,306
297,,306
297,,306
297,,306
297,,306
297,,306
297,,306
297,,306
297,,306
297,,306
297,,306
297,,306
297,,306
297,,306
298,,307
298,,307
298,,307
298,,307
299,,307
299,,307
299,,307
299,,307
299,,307
299,,307
299,,307
299,,307
299,,307
299,,308
299,,308
299,,308
299,,308
299,,308
300,,308
300,,308
300,,308
300,,308
300,,308
300,,308
300,,308
300,,308
300,,308
300,,308
300,,313
300,,313
300,,313
300,,313
300,,313
300,,313
300,,313
302,,313
302,,313
302,,313
302,,313
302,,313
302,,313
302,,313
302,,313
302,,313
302,,313
304,,313
304,,313
304,,313
304,,313
304,,313
304,,313
304,,313
304,,313
304,,313
304,,313
306,,313
306,,313
306,,313
306,,313
307,,313
307,,313
307,,313
307,,313
307,,313
307,,313
307,,313
307,,313
316,,313
316,,313
316,,313
316,,313
316,,314
316,,315
316,,315
316,,315
316,,315
320,,315
320,,317
320,,317
320,,
320,,
320,,
